CountryName,CountryCode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Aruba,ABW,65.57,65.99,66.37,66.71,67.04,67.37,67.70,68.03,68.38,68.73,69.09,69.45,69.80,70.14,70.47,70.78,71.08,71.38,71.67,71.95,72.22,72.46,72.67,72.85,72.99,73.10,73.18,73.24,73.30,73.34,73.39,73.43,73.47,73.51,73.54,73.56,73.59,73.61,73.64,73.68,73.72,73.78,73.87,73.97,74.09,74.23,74.38,74.53,74.67,74.82,74.95,75.08,75.21
Afghanistan,AFG,31.58,32.10,32.61,33.13,33.64,34.15,34.66,35.17,35.67,36.17,36.66,37.14,37.61,38.07,38.52,38.97,39.41,39.85,40.29,40.75,41.23,41.76,42.34,42.96,43.64,44.38,45.17,46.00,46.85,47.71,48.57,49.40,50.21,50.99,51.71,52.38,52.97,53.51,53.99,54.43,54.85,55.26,55.67,56.11,56.57,57.06,57.57,58.09,58.61,59.11,59.60,60.07,60.51
Angola,AGO,32.98,33.39,33.79,34.19,34.59,34.99,35.40,35.80,36.21,36.61,37.02,37.42,37.83,38.23,38.61,38.98,39.30,39.58,39.82,40.01,40.16,40.29,40.41,40.53,40.65,40.78,40.89,40.97,41.04,41.09,41.14,41.21,41.31,41.48,41.72,42.05,42.50,43.06,43.71,44.44,45.20,45.97,46.71,47.39,48.00,48.54,49.01,49.44,49.85,50.25,50.65,51.06,51.46
Albania,ALB,62.25,63.27,64.16,64.89,65.44,65.83,66.09,66.29,66.47,66.68,66.93,67.24,67.59,67.96,68.35,68.74,69.12,69.46,69.75,70.01,70.24,70.45,70.69,70.94,71.21,71.47,71.70,71.86,71.95,71.98,71.96,71.92,71.90,71.94,72.04,72.24,72.53,72.90,73.33,73.79,74.27,74.73,75.16,75.53,75.84,76.09,76.29,76.46,76.63,76.80,76.98,77.16,77.35
Arab World,ARB,46.76,47.39,48.00,48.61,49.21,49.79,50.36,50.91,51.43,51.95,52.47,53.01,53.57,54.16,54.78,55.40,56.03,56.65,57.26,57.87,58.49,59.13,59.80,60.48,61.17,61.85,62.50,63.10,63.63,64.11,64.63,65.01,65.30,65.63,65.97,66.34,66.65,66.95,67.21,67.46,67.67,67.87,68.05,68.23,68.41,68.60,68.79,68.99,69.19,69.38,69.57,69.76,69.95
United Arab Emirates,ARE,52.24,53.29,54.33,55.36,56.39,57.41,58.39,59.34,60.24,61.10,61.90,62.65,63.37,64.04,64.69,65.31,65.89,66.45,66.99,67.50,67.98,68.45,68.88,69.30,69.70,70.08,70.44,70.78,71.10,71.42,71.72,72.01,72.30,72.58,72.85,73.12,73.39,73.65,73.91,74.16,74.41,74.65,74.89,75.12,75.36,75.58,75.80,76.01,76.21,76.41,76.60,76.78,76.96
Argentina,ARG,65.22,65.34,65.43,65.51,65.58,65.67,65.78,65.93,66.11,66.34,66.59,66.87,67.17,67.47,67.76,68.05,68.34,68.63,68.93,69.22,69.51,69.79,70.04,70.26,70.45,70.63,70.80,70.97,71.15,71.34,71.54,71.76,71.99,72.22,72.44,72.66,72.89,73.10,73.32,73.53,73.75,73.95,74.16,74.36,74.56,74.75,74.94,75.13,75.31,75.49,75.66,75.84,76.01
Armenia,ARM,65.86,66.28,66.71,67.14,67.57,67.99,68.41,68.83,69.23,69.60,69.92,70.18,70.37,70.48,70.53,70.53,70.53,70.54,70.58,70.64,70.68,70.66,70.54,70.29,69.94,69.50,69.02,68.57,68.18,67.90,67.75,67.74,67.85,68.07,68.38,68.76,69.22,69.72,70.24,70.77,71.28,71.76,72.20,72.61,72.97,73.29,73.55,73.76,73.94,74.09,74.22,74.33,74.44
Antigua and Barbuda,ATG,61.78,62.20,62.60,62.99,63.38,63.76,64.13,64.49,64.84,65.19,65.53,65.86,66.19,66.51,66.82,67.13,67.43,67.73,68.02,68.31,68.59,68.87,69.14,69.41,69.67,69.93,70.18,70.43,70.68,70.92,71.16,71.40,71.63,71.87,72.09,72.32,72.54,72.76,72.97,73.19,73.40,73.61,73.81,74.02,74.22,74.42,74.62,74.80,74.99,75.16,75.33,75.50,75.67
Australia,AUS,70.82,70.97,70.94,70.91,70.88,70.85,70.82,70.87,70.92,70.97,71.02,71.07,71.46,71.85,72.24,72.63,73.01,73.34,73.67,74.00,74.33,74.66,74.90,75.15,75.39,75.63,75.87,76.15,76.43,76.71,76.99,77.28,77.38,77.88,77.88,77.83,78.08,78.48,78.63,78.93,79.23,79.63,79.94,80.24,80.49,80.84,81.04,81.29,81.40,81.54,81.70,81.90,82.10
